"id","title","published_at","url","description","view_count","like_count","channel_id","channel_title","channel_url","channel_description","be_excluded"
"g6F0eJOqPRU","カップヌードルCM 「ヤバい。なんか熱い。東南審議 篇」 15秒 / EXILE TRIBE","2018-06-01 01:02:04 UTC","https://www.youtube.com/watch?v=g6F0eJOqPRU","この時代に足りないもの、それは熱さかもしれない。
熱苦しい情熱が冷笑される時代だとしても、
世の中を変えてきたのは、いつだって熱い想いだったはず。
気合いひとつで世界に挑む、そんなヤバいくらいに熱い人々をカップヌードルは応援したい。
その熱さが、きっと世界を沸かす。
ヤバい。なんか熱い。",8397,,"UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループ公式チャンネル","https://www.youtube.com/channel/UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループの公式Youtubeチャンネルです。",0
"zUSOPnOuQYw","日清焼そばU.F.O. CM 「全国統一UFO対策模試告知 篇」","2018-06-01 01:00:30 UTC","https://www.youtube.com/watch?v=zUSOPnOuQYw","2018年2月27日。日本政府は未確認飛行物体UFOについて、
「存在を確認したことはなく、対応についても特段の検討を行っていない」との答弁書を閣議決定しました。
しかし一方で、UFOの目撃情報は年々増え続けており、米国の研究では、30年前の4倍以上の45,000件に達するとの発表もあります。
同じ名を冠する者として、この危機的状況を放っておく訳にはいかない。

いつかやってくるかもしれないUFO飛来の時、
国が守ってくれないなら、自分で自分を守るしかないから。

UFOと同じ名前の焼そば「U.F.O.」が危機意識の薄い日本人に向け、警告を鳴らします。

あなたは何問答えられるか？
UFO対策力を試して、来たるその日に備えよう！

＜全国統一UFO対策模試　問題監修＞
月刊ムー

全国統一UFO対策模試サイト
http://www.nissin-ufo.jp/taisaku/

日清焼そばU.F.O.公式サイト
http://www.nissin-ufo.jp/",4033,,"UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループ公式チャンネル","https://www.youtube.com/channel/UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループの公式Youtubeチャンネルです。",0
"wxaoIeZm05A","サマーチャレンジセミナー2018告知CM","2018-06-29 05:13:41 UTC","https://www.youtube.com/watch?v=wxaoIeZm05A","「サマーチャレンジセミナー2018」では、大学進学を目指す中学生・高校生らとその保護者を対象に、充実した夏を過ごせるよう、将来に向けた勉強方法などをビリギャル著者の坪田信貴氏が解説します。

申込はこちら
https://sokauniv.dbnet.jp/rf/scs2018/",510,7,"UC-0EGRamgKCx_4STzYXzj3w","創価大学公式チャンネル -SOKA University-","https://www.youtube.com/channel/UC-0EGRamgKCx_4STzYXzj3w","創価大学動画チャンネル

経済学部
経営学部
法学部
文学部
教育学部
理工学部
看護学部
国際教養学部
大学院/専門職大学院（教職大学院・法科大学院）
通信教育部",0
"4d5ELJluJ74","中田英寿がバティストゥータと対談！マニュライフ生命 新CM","2018-06-28 19:00:01 UTC","https://www.youtube.com/watch?v=4d5ELJluJ74","↓ぜひ、フィールドキャスターのチャンネル登録をお願いします！
http://www.youtube.com/user/fieldcasterjapan?sub_confirmation=1

マニュライフ生命保険株式会社がおくる、元サッカー日本代表の中田英寿氏と元サッカーアルゼンチン代表のガブリエル・バティストゥータ氏が出演する 新CM「再会篇」(15秒)が公開されました。

今回は、イタリア・セリエ Aに移籍してから20年という節目の年を迎えたナビゲーターの中田氏が当時在籍していたロー マを訪れ、チームメイトであった元アルゼンチン代表のガブリエル・バティストゥータ氏と再会。 

昨年、ロンドンで開催されたサッカーのアワード以来再会した両氏は、イタリア語で挨拶を交わしました。

この動画では、生き方や働き方が多様化するなか、自ら積極的に行動し、それぞれが思い描く理想の未来を切りひらいていくことを応援するというマニュライフ生命の思いが込められています。

↓芸能動画ニュースは「フィールドキャスター」
http://fieldcaster.net/",773,9,"UC-J0pIKmHc6_chLUCch_wNA","fieldcasterjapan","https://www.youtube.com/channel/UC-J0pIKmHc6_chLUCch_wNA","株式会社フィールドキャスターは芸能イベントなどを自ら取材し、動画を編集しています。速報性を重視したWEB専門の動画ニュースです。
「LINE タイムライン」「Yahoo!映像トピックス 公式映像コーナー」「Yahoo!ネタりか」「Googleニュース」フジテレビ「ホウドウキョク」へ動画ニュースを配信しています。
さらに配信先を募集しています。チャンネル登録をお願いします！

▼フィールドキャスターお笑い専門チャンネルはこちら！▼
https://www.youtube.com/channel/UCa61DTmyZhhgO_3Nx6BETLg

info@fieldcaster.net
↑動画ニュースの二次利用等の問い合わせ、お仕事のお問い合わせはこちらから。お気軽にご連絡ください。

release@fieldcaster.net
↑イベントなどのリリースはこちら。リリースは随時募集しております。

http://fieldcaster.net/

新規スタッフを募集しております。詳細はホームページをご覧ください。

It is a channel which exhibits the image which we covered and edited. News and an entertainments event are in the mainstream.

Please Subscribe!",1
"VoW3rqg_mm4","元モーニング娘。田中れいなと高橋愛がキレキレのダンスを披露！「脱臭炭」新CM","2018-06-25 13:00:06 UTC","https://www.youtube.com/watch?v=VoW3rqg_mm4","↓ぜひ、フィールドキャスターのチャンネル登録をお願いします！
http://www.youtube.com/user/fieldcasterjapan?sub_confirmation=1

家庭のあらゆる場所のイヤなニオイ を脱臭する脱臭剤「脱臭炭」シリーズの新CMとして“愛とれいな”編が公開されました。
今回の新CMに出演するのは、元モーニング娘。の第5期メンバーであり第6代リー ダーの高橋愛さんと、第6期メンバーの田中れいなさんです。
CMでは、冷蔵庫や下駄箱のやんわり臭うニオイに気が付いたおふたりが、半端な いキレキレダンスでニオイを脱臭します。

↓芸能動画ニュースは「フィールドキャスター」
http://fieldcaster.net/",139195,2329,"UC-J0pIKmHc6_chLUCch_wNA","fieldcasterjapan","https://www.youtube.com/channel/UC-J0pIKmHc6_chLUCch_wNA","株式会社フィールドキャスターは芸能イベントなどを自ら取材し、動画を編集しています。速報性を重視したWEB専門の動画ニュースです。
「LINE タイムライン」「Yahoo!映像トピックス 公式映像コーナー」「Yahoo!ネタりか」「Googleニュース」フジテレビ「ホウドウキョク」へ動画ニュースを配信しています。
さらに配信先を募集しています。チャンネル登録をお願いします！

▼フィールドキャスターお笑い専門チャンネルはこちら！▼
https://www.youtube.com/channel/UCa61DTmyZhhgO_3Nx6BETLg

info@fieldcaster.net
↑動画ニュースの二次利用等の問い合わせ、お仕事のお問い合わせはこちらから。お気軽にご連絡ください。

release@fieldcaster.net
↑イベントなどのリリースはこちら。リリースは随時募集しております。

http://fieldcaster.net/

新規スタッフを募集しております。詳細はホームページをご覧ください。

It is a channel which exhibits the image which we covered and edited. News and an entertainments event are in the mainstream.

Please Subscribe!",1
"-uNO3BWjNMs","「クラフトボス ブラウン」新CMに夏木マリが登場！「新しい風・新CEO」篇","2018-06-17 19:00:02 UTC","https://www.youtube.com/watch?v=-uNO3BWjNMs","↓ぜひ、フィールドキャスターのチャンネル登録をお願いします！
http://www.youtube.com/user/fieldcasterjapan?sub_confirmation=1

堺雅人さん、成田凌さん、杉咲花さん、夏木マリさん、小澤慎一朗さん（ピスタチオ）、ゆりやんレトリィバァさん、トミー・リー・ジョーンズが出演する「クラフトボス ブラウン」の新CM「新しい風・新CEO」篇が公開されました。
新CMでは堺雅人さんが働く、とあるIT企業のオフィスのあちこちで、従来の勤務スタイルや価値観からは想像もできない言動＝「新しい風」に遭遇する姿を、個性豊かな豪華キャストとともに表現しています。
今回の最新作では、前回からのお馴染みのキャストに加え、新CEO役として夏木マリさんが加わり、常に携帯する「くまのブラウン」のぬいぐるみと、愛するブラウンカラーで統一した
ゴージャスな衣装とがトレードマークの夏木さんは、社員一同を前にした就任挨拶で、ビジネス効率化のために大事なことは、「みんなが仲良くすること」だと説きます。
いかにも切れ者といった外見からは想像できない、ごく普通の言葉に、「新しい風」を感じる堺さん。
ところが、社内の円滑なコミュニケーションを図るために、社員たちに促したのは、とある意外な行動でした。
従来の価値観からかけ離れたものでありながら、誰もが一度は経験したことのある、ビジネス効率化に最適なプランとは果たして……。
ラストを締めくくる、宇宙人ジョーンズと夏木さんの息の合った決めポーズとともに、見どころ満載の新CMに仕上がっています。

↓芸能動画ニュースは「フィールドキャスター」
http://fieldcaster.net/",2800,20,"UC-J0pIKmHc6_chLUCch_wNA","fieldcasterjapan","https://www.youtube.com/channel/UC-J0pIKmHc6_chLUCch_wNA","株式会社フィールドキャスターは芸能イベントなどを自ら取材し、動画を編集しています。速報性を重視したWEB専門の動画ニュースです。
「LINE タイムライン」「Yahoo!映像トピックス 公式映像コーナー」「Yahoo!ネタりか」「Googleニュース」フジテレビ「ホウドウキョク」へ動画ニュースを配信しています。
さらに配信先を募集しています。チャンネル登録をお願いします！

▼フィールドキャスターお笑い専門チャンネルはこちら！▼
https://www.youtube.com/channel/UCa61DTmyZhhgO_3Nx6BETLg

info@fieldcaster.net
↑動画ニュースの二次利用等の問い合わせ、お仕事のお問い合わせはこちらから。お気軽にご連絡ください。

release@fieldcaster.net
↑イベントなどのリリースはこちら。リリースは随時募集しております。

http://fieldcaster.net/

新規スタッフを募集しております。詳細はホームページをご覧ください。

It is a channel which exhibits the image which we covered and edited. News and an entertainments event are in the mainstream.

Please Subscribe!",1
"U9RqYdzsGug","日本電産企業CM 「私はモータ」篇（30秒）","2018-06-19 04:39:49 UTC","https://www.youtube.com/watch?v=U9RqYdzsGug","日本電産の30秒テレビCM「私はモータ」篇。
日本電産はあらゆる分野のモータを通して、
世界の現在と未来を動かし続けています。",9977,,"UC-zUbgGK5dGYT_Vi7GHCoFQ","日本電産株式会社Nidec","https://www.youtube.com/channel/UC-zUbgGK5dGYT_Vi7GHCoFQ","精密小型から超大型まで『回るもの、動くもの』に特化した幅広いモータ及びモータの応用製品・ソリューション事業を展開する会社です。",0
"yE851arMJvU","dijual Pedang samurai asli jepang putus paku 12 cm sell rolled sword button original airtight knife","2018-06-10 07:31:03 UTC","https://www.youtube.com/watch?v=yE851arMJvU","Dijual dengan harga Rp 13.000.000,- (Tiga Belas Juta Rupiah)

Dengan kriteria sebagai berikut: 
1. Cover perunggu anti magnit 
2. Kedap Udara 
3. Beradiasi panas 
4. Putus paku khusus. (Pembelian produk sudah termasuk bonus paku khususnya 2 biji)

Pedang samurai asli di Indonesia lengkap dengan surat jepangnya. Apabila asli peninggalan jepang pasti harga saya tulis Trilyunan bukan sebatas jutaan saja.



Jangan geser kebawah apabila diskripsi diatas belum tuntas membacanya!!! Geser kebawah untuk mengetahui contact whatsapp kami.






          ===
          ===
          ===
          ===
============
  ==========
    ========
      ======
        ====
          ==
           
 






















































Belanja di bukalapak jauh lebih murah
Https://www.bukalapak.com/padagangan
Whatsapp: 087888580333",384,1,"UC0dxsWOXgnVKe0Gsq341tJQ","PumkinHead Osama Store","https://www.youtube.com/channel/UC0dxsWOXgnVKe0Gsq341tJQ","Kami adalah perusahaan penyedia pedang samurai asli di Indonesia lengkap dengan surat jepangnya. Apabila koleksi kami yang terposting adalah pedang samurai asli peninggalan jepang pastinya harga yang saya tulis adalah Trilyunan bukan sebatas juta saja.

Tersedia angka tahun 1211, 1213, 1413, 1418, 1511, 1518, 1616, 1618, 1718, 1722, 1723 lengkap dengan surat jepang

Tag: Pedang tertajam di dunia, samurai putus paku asli, samurai tertajam di dunia, katana tertajam di dunia, samurai putus paku 12 cm, samurai asli jepang putus paku, pedang samurai asli jepang, how to connect",1
"k_QwY19N380","杉咲花：堺雅人とフォークダンス　「クラフトボス」新CM公開","2018-06-17 19:42:28 UTC","https://www.youtube.com/watch?v=k_QwY19N380","俳優の堺雅人さんや女優の杉咲花さんらが出演しているサントリーのコーヒー飲料「クラフトボス」シリーズの新商品「クラフトボス ブラウン」のCMが18日、公開された。新CMでは、女優の夏木マリさん演じる新CEOの指示のもと、堺さんと杉咲さん、成田凌さんとゆりやんレトリィバァさんのペアでフォークダンスを踊っている。19日から放送。 　新CM「新しい風・新CEO」編は、新CEOに就任した夏木さんが、堺さん、杉咲さんら社員たちに「ビジネスを効率化するために一番大事なことは？」と質問。ブラウンカラーで統一されたゴージャスな衣装を身に着け、「くまのブラウン」のぬいぐるみを手放さないと、一見取っつきづらそうな夏木さんだが、就任あいさつでは社員らにビジネス効率化のために大事なことは「みんなが仲良くなること」だとごく普通の言葉を口にする……という展開。 　堺さんや杉咲さんらによるフォークダンスの撮影では、ダンスの先生の指導で練習を開始したが、不慣れな動きに照れもあり、両手両足の位置が左右逆だったり、前後の人とぶつかったりと“グズグズの状態”に。堺さんらは練習を重ねて撮影したという。 　夏木さんもトミー・リー・ジョーンズさんと息の合ったダンスを披露。夏木さんとジョーンズさんのダンスの撮影は、「へたなダンサーとしてのキャリアは長いんだよ」とジョークを飛ばしたジョーンズさんが最初のカットからキレのあるアクションを披露し、ダンス経験が豊富な夏木さんをリードしていたという。",7,0,"UC0k7byEODfe8uFfwZld1uwQ","Bibi Vgan","https://www.youtube.com/channel/UC0k7byEODfe8uFfwZld1uwQ",,1
"jYSefYRh5pQ","チャリロトCM","2018-06-18 06:27:43 UTC","https://www.youtube.com/watch?v=jYSefYRh5pQ",,274,0,"UC0LCP7GMhx04w5EG-X0qY1A","株式会社チャリ・ロト","https://www.youtube.com/channel/UC0LCP7GMhx04w5EG-X0qY1A","最大12億円競輪くじ・競輪車券・オートレース車券発売サイト チャリロトの公式アカウントです。",0
"rnXWSLGnc2Q","「新しいアイスクリーム」の新CMに登場したゆり子ゆり子！ 屋上の大きな声は「非常にリフレッシュ」 | ニュース","2018-06-01 00:09:10 UTC","https://www.youtube.com/watch?v=rnXWSLGnc2Q","「新しいアイスクリーム」の新CMに登場したゆり子ゆり子！ 屋上の大きな声は「非常にリフレッシュ」 | ニュース 
グリコは、「アイスの実」のイメージキャラクターに女優の吉高由里子を起用し、新テレビCM「プチリセット... 
Soucre : https://abematimes.com/posts/4295542?categoryIds=70274 
#「 #新 #し #い #ア #イ #ス #ク #リ #ー #ム #」 #の #新 #C #M #に #登 #場 #し #た #ゆ #り #子 #ゆ #り #子 #！ #屋 #上 #の #大 #き #な #声 #は #「 #非 #常 #に #リ #フ #レ #ッ #シ #ュ #」 #ニ #ュ #ー #ス  
----------------------------- 
Thanks for watching☻Please Like ►Share",0,0,"UC0ngxMgTpSWSw7K3KA6-IjQ","24h New","https://www.youtube.com/channel/UC0ngxMgTpSWSw7K3KA6-IjQ","news.sanook.com, thail new,thailan",1
"fjSEeLYiTZQ","じっくりこちゃんCM #VTuberCM提供","2018-06-09 10:28:15 UTC","https://www.youtube.com/watch?v=fjSEeLYiTZQ","今和間田せぃが様提案のCM企画15秒
この動画をご自由に紹介や利用してください",103,9,"UC0O6HGqg5CbntAYXr5dbzfA","JikkuriProject","https://www.youtube.com/channel/UC0O6HGqg5CbntAYXr5dbzfA","じっくりこちゃん育成計画
VTuberじっぴーが創作情報などを公開
ブログ: https://jikkuriko.blogspot.com
ツイッター: https://twitter.com/jikkuriko",1
"bRbRmrXVluc","愛川レッドカーペット ムービー部門募集CM「あいちゃんと愛の言葉」","2018-06-19 05:09:00 UTC","https://www.youtube.com/watch?v=bRbRmrXVluc","愛川町が主催する動画コンテスト「愛川レッドカーペット」は、第1回となった昨年、大好評を博し大きな盛り上がりをみせましたが、今年はさらに「フォト部門」を新設し、さらに注目を集めています。

そんな中、コンテストの特別審査員をお引き受けいただいている、映像ディレクターの山本憲司さんが、「それじゃ、去年よりもっとたくさん応募してもらえるように、PVつくりましょうよ！」ということに急遽あいなり、・・・というのは、山本さんが多忙なスケジュールの合間を縫ってひねり出してくれた撮影日が、なんと事務局にコンテが届いた翌日！！！

事務局が大慌てでロケハンを行い、資料映像を共有しながらの香盤編成作業の結果、無事に愛川町内でロケを敢行！

なかなかの力作に仕上がったのかな、と、ちょっと自信作だったり。

企画・撮影・編集　山本憲司

愛川レッドカーペット
https://aikawaredcarpet.com/",274,3,"UC0PXLax1t68vCASFi6lrMdA","愛川町チャンネル","https://www.youtube.com/channel/UC0PXLax1t68vCASFi6lrMdA","神奈川県愛川町の公式チャンネルです。
愛川町に関する動画を発信します。",0
"4D3DRCWjJVM","愛川レッドカーペット フォト部門募集CM「進撃のあいちゃん」","2018-06-19 04:59:52 UTC","https://www.youtube.com/watch?v=4D3DRCWjJVM","愛川町が主催する動画コンテスト「愛川レッドカーペット」は、第1回となった昨年、大好評を博し大きな盛り上がりをみせましたが、今年はさらに「フォト部門」を新設し、さらに注目を集めています。

そんな中、コンテストの特別審査員をお引き受けいただいている、映像ディレクターの山本憲司さんが、「それじゃ、去年よりもっとたくさん応募してもらえるように、PVつくりましょうよ！」ということに急遽あいなり、・・・というのは、山本さんが多忙なスケジュールの合間を縫ってひねり出してくれた撮影日が、なんと事務局にコンテが届いた翌日！！！

事務局が大慌てでロケハンを行い、資料映像を共有しながらの香盤編成作業の結果、無事に愛川町内でロケを敢行！

なかなかの力作に仕上がったのかな、と、ちょっと自信作だったり。

企画・撮影・編集　山本憲司

愛川レッドカーペット
https://aikawaredcarpet.com/",225,4,"UC0PXLax1t68vCASFi6lrMdA","愛川町チャンネル","https://www.youtube.com/channel/UC0PXLax1t68vCASFi6lrMdA","神奈川県愛川町の公式チャンネルです。
愛川町に関する動画を発信します。",0
